날짜,요일,역번호,역명,구분,05~06,06~07,07~08,08~09,09~10,10~11,11~12,12~13,13~14,14~15,15~16,16~17,17~18,18~19,19~20,20~21,21~22,22~23,23~24,24~
2020-01-01,2,250,용두(동대문구청),승차,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-01-01,2,250,용두(동대문구청),하차,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01,2,309,지축,승차,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01,2,309,지축,하차,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-01-01,2,310,구파발,승차,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2020-01-01,2,310,구파발,하차,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43
2020-01-01,2,311,연신내,승차,607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
2020-01-01,2,311,연신내,하차,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72
2020-01-01,2,312,불광,승차,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2020-01-01,2,312,불광,하차,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
2020-01-01,2,313,녹번,승차,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-01-01,2,313,녹번,하차,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2020-01-01,2,314,홍제,승차,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2020-01-01,2,314,홍제,하차,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-01-01,2,315,무악재,승차,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01,2,315,무악재,하차,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01,2,316,독립문,승차,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01,2,316,독립문,하차,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84
2020-01-01,2,317,경복궁(정부서울청사),승차,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-01-01,2,317,경복궁(정부서울청사),하차,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
2020-01-01,2,318,안국,승차,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
2020-01-01,2,318,안국,하차,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
2020-01-01,2,319,종로3가,승차,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2020-01-01,2,319,종로3가,하차,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
2020-01-01,2,320,을지로3가,승차,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-01-01,2,320,을지로3가,하차,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2020-01-01,2,322,동대입구,승차,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01,2,322,동대입구,하차,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
2020-01-01,2,323,약수,승차,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2020-01-01,2,323,약수,하차,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82
2020-01-01,2,324,금호,승차,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2020-01-01,2,324,금호,하차,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2020-01-01,2,325,옥수,승차,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
2020-01-01,2,325,옥수,하차,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
2020-01-01,2,326,압구정,승차,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2020-01-01,2,326,압구정,하차,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58
2020-01-01,2,327,신사,승차,366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01,2,327,신사,하차,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-01-01,2,328,잠원,승차,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2020-01-01,2,328,잠원,하차,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2020-01-01,2,329,고속터미널,승차,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
2020-01-01,2,329,고속터미널,하차,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
2020-01-01,2,330,교대(법원.검찰청),승차,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01,2,330,교대(법원.검찰청),하차,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-01-01,2,331,남부터미널(예술의전당),승차,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-01-01,2,331,남부터미널(예술의전당),하차,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
